Rank,UNDP_Rank_2023,RankChange_2023_to_2050,RankChangeDisplay,DevelopmentMomentumScore,DevelopmentMomentumTier,IndustrializingMover,IndustrializationSignal,RankCluster,RankClusterSize,RankClusterLabel,ProjectionType,BaselineSource,BaselineDataYear,UNDP_Country,ISO3,Country,HDI_Baseline,HDI_2024_Local_Estimate,HDI_2024_vs_UNDP_HDR2025,HDI_2024,UNDP_HDI_2023,Population_2024,Population_2024_Source,Population_2050,Population_2050_Source,HDI_Baseline_Recomputed_From_Components,HDI_Baseline_Component_Mismatch,HDI_2024_Recomputed_From_Components,HDI_2024_Component_Mismatch,HDI_2050,HDI_2050_Gain,HDI_P10,HDI_P50,HDI_P90,HDI_Optimistic,HDI_Pessimistic,Interval_Contains_Baseline_HDI,Interval_Contains_2024_HDI,LifeExp_Baseline,GNI_PPP_Baseline,ExpSchool_Baseline,MeanSchool_Baseline,HealthIndex_2025,EducationIndex_2025,IncomeIndex_2025,HealthIndex_2050,EducationIndex_2050,IncomeIndex_2050,HDI_2050_Recomputed_From_Indices,HDI_2050_Index_Mismatch,LifeExp_2024,GNI_PPP_2024,ExpSchool_2024,MeanSchool_2024,InstEfficiency,TechFactor,DemoFactor,MedianAge_2024,MedianAge_2050,MedianAgeShift_2024_to_2050,Youth014Pct_2024,Youth014Pct_2050,WorkingAgePct_2024,WorkingAgePct_2050,WorkforceChangePP_2024_to_2050,Elderly65PlusPct_2024,Elderly65PlusPct_2050,Elderly65PlusChangePP_2024_to_2050,ChildDependencyRatio,OldAgeDependencyRatio,TotalDependencyRatio,AgePyramidScore,WorkforceDepth,WorkforceMomentum,YouthDependencyPressure,AgingPressure,DevelopedDemographicAdaptation,AdaptedAgingPressure,FertilityWindow,HumanCapitalAbsorption,DemographicDividend,DependencyPressure,DemographicHDIMultiplier,DemographicHDIAdjustment,FutureReadiness,DigitalInfraDevelopment,DigitalInfraHDIAdjustment,RecoveryPotential2050,ResourceDependence,GrowthVolatility,EconomicDiversification,ResourceDrag,IndustrializationHDIAcceleration,DevelopingCatchupReadiness,GrowthProspectScore,LowGrowthProspectDrag,TrajectoryHDISpeedMultiplier,TrajectoryHDICapMultiplier,TrajectoryHDIShockMultiplier,Gini_2024,InfantMortality_2024,ClimateRisk_2024,Fertility_2024,Urbanization_2024,PoliticalStability_2024,RuleOfLaw_2024,Physicians_2024,HealthExp_2024,RenewableShare_2024,Contrib_Income,Contrib_Education,Contrib_Health,Contrib_Governance,Contrib_Demographics,Contrib_Technology,Contrib_Recovery,Contrib_Inequality,Contrib_Climate,Contrib_ShockRisk,ai_adoption_index,robot_density,semiconductor_production,green_energy_investment,ev_adoption,battery_capacity,high_speed_rail,startup_ecosystem,venture_capital,cloud_adoption,Trajectory,Rank_Best_P90,Rank_Worst_P10
98,89,-9,-9,45.84,fast_converger,False,0.3,42,4,Cluster 42,scenario_projection,UNDP_HDR_2025_Table_1,2023,Sri Lanka,LKA,Sri Lanka,0.776,0.78,0.004,0.78,0.776,23103561,un_wpp_owid_2024,24813694,un_wpp_owid_2050,0.744,-0.032,0.744,-0.032,0.827,0.051,0.7483,0.827,0.8577,0.8577,0.7483,True,True,77.483,12615.6004,13.1282,10.77,0.8453,0.7007,0.6954,0.91562,0.795518,0.776517,0.827,-1.8e-07,77.483,12615.6004,13.1282,10.77,0.93,1.1025,0.9123,34.0,40.5,6.5,21.1616,14.6313,65.5,60.3,-5.2,13.3384,25.0687,11.7303,0.2426,0.4157,0.6584,0.8418,0.4682,0.175,0.0,0.594,0.0,0.594,0.9167,0.6397,0.3206,0.3413,0.9379,-0.0041,0.3023,0.5652,0.0037,0.16,0.12,0.22,0.6,0.0139,0.1958,0.3259,0.6519,0.3481,1.16,1.16,0.94,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0081,0.0112,0.0038,0.0177,0.0068,0.011,0.002,-0.0014,-0.0037,-0.0044,0.3256,0.2392,0.2069,0.3119,0.3747,0.2086,0.3889,0.2806,0.3487,0.3379,accelerator,70,135
99,105,6,+6,58.36,rapid_industrializer,True,0.4,42,4,Cluster 42,scenario_projection,UNDP_HDR_2025_Table_1,2023,Tunisia,TUN,Tunisia,0.746,0.731,-0.015,0.731,0.746,12277103,un_wpp_owid_2024,13145140,un_wpp_owid_2050,0.7086,-0.0374,0.7086,-0.0374,0.8268,0.0808,0.72,0.8268,0.8534,0.8534,0.72,True,True,76.508,12011.3878,14.6735,7.5949,0.831,0.6221,0.6883,0.929462,0.760351,0.799753,0.8268,1.5e-07,76.508,12011.3878,14.6735,7.5949,0.97,1.1025,0.9467,33.0,39.0,6.0,21.4225,16.015,67.0,62.2,-4.8,11.5775,21.785,10.2075,0.2575,0.3502,0.6077,0.9052,0.5545,0.2,0.0,0.4448,0.0,0.4448,0.9828,0.6501,0.4247,0.2513,0.9807,-0.0014,0.4038,0.5466,0.0042,0.16,0.12,0.22,0.6,0.0137,0.3525,0.366,0.7267,0.2733,0.9936,0.9936,1.0176,0.3645,16.0753,0.2526,2.1413,0.5613,0.1357,0.009,1.5381,6.3393,0.0946,0.0105,0.0173,0.0057,0.0244,0.0147,0.0145,0.0024,-0.0004,-0.0038,-0.0046,0.4122,0.3587,0.2847,0.3822,0.5284,0.2939,0.4838,0.3495,0.4538,0.4912,fast_converger,73,145
100,107,7,+7,55.5,rapid_industrializer,False,0.3,42,4,Cluster 42,scenario_projection,UNDP_HDR_2025_Table_1,2023,Uzbekistan,UZB,Uzbekistan,0.74,0.727,-0.013,0.727,0.74,36361859,un_wpp_owid_2024,52210751,un_wpp_owid_2050,0.7089,-0.0311,0.7089,-0.0311,0.8262,0.0862,0.7062,0.8262,0.8534,0.8534,0.7062,True,True,72.388,8825.7309,12.4609,11.91,0.7704,0.7179,0.644,0.865259,0.84906,0.767664,0.8262,7e-08,72.388,8825.7309,12.4609,11.91,0.9,1.0815,0.9809,27.8,34.0,6.2,27.7592,24.2039,65.5,60.54,-4.96,6.7408,15.2561,8.5152,0.3998,0.252,0.6518,0.9263,0.4791,0.19,0.0943,0.148,0.0,0.148,0.32,0.5556,0.4563,0.2156,0.9796,0.0008,0.2955,0.5278,0.0041,0.16,0.12,0.22,0.6,0.0135,0.2216,0.3211,0.6756,0.3244,1.08,1.08,0.96,0.3768,44.3136,0.2666,3.7321,0.4972,-0.4926,-0.3101,0.9889,6.1554,0.2817,0.0133,0.0141,0.006,0.0241,0.0212,0.0145,0.0027,-0.0016,-0.0046,-0.0035,0.3242,0.2269,0.1634,0.3215,0.408,0.1859,0.3726,0.2505,0.3281,0.3744,fast_converger,73,150
101,65,-36,-36,33.84,emerging_mover,False,0.33,43,2,Cluster 43,scenario_projection,UNDP_HDR_2025_Table_1,2023,Belarus,BLR,Belarus,0.824,0.808,-0.016,0.808,0.824,9056696,un_wpp_owid_2024,7453542,un_wpp_owid_2050,0.7899,-0.0341,0.7899,-0.0341,0.8217,-0.0023,0.7386,0.8217,0.8647,0.8647,0.7386,True,True,74.434,26724.871,13.7188,12.3354,0.8005,0.7665,0.8033,0.832617,0.797516,0.835517,0.8217,7e-08,74.434,26724.871,13.7188,12.3354,0.82,1.0815,0.843,40.3,46.5,6.2,13.7143,7.8041,63.5,58.54,-4.96,22.7857,33.6559,10.8702,0.1333,0.5749,0.7082,0.7192,0.3882,0.19,0.0,0.9844,0.0,0.9844,0.9167,0.6175,0.1288,0.5174,0.8566,-0.0078,0.329,0.5075,0.0026,0.0,0.12,0.22,0.6,0.0141,0.1738,0.296,0.492,0.508,0.82,0.92,1.18,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0002,0.0004,0.0002,0.0005,-0.0002,0.0004,0.0,-0.0001,-0.0002,-0.0002,0.3178,0.2691,0.2069,0.3597,0.4381,0.2205,0.4367,0.2995,0.3897,0.3518,conflict_recovery,66,139
102,135,33,+33,75.8,rapid_industrializer,False,0.27,43,2,Cluster 43,scenario_projection,UNDP_HDR_2025_Table_1,2023,Cabo Verde,CPV,Cape Verde,0.668,0.662,-0.006,0.662,0.668,524878,un_wpp_owid_2024,566142,un_wpp_owid_2050,0.6348,-0.0332,0.6348,-0.0332,0.8207,0.1527,0.6436,0.8207,0.8564,0.8564,0.6436,True,True,76.059,8165.3792,11.3671,6.09,0.8244,0.4903,0.6329,0.959119,0.71744,0.803332,0.8207,-1e-07,76.059,8165.3792,11.3671,6.09,0.95,1.0302,0.9804,26.5,34.0,7.5,27.9443,24.2285,66.5,60.5,-6.0,5.5557,15.2715,9.7158,0.4005,0.2524,0.6529,0.9258,0.4773,0.125,0.0772,0.1487,0.0,0.1487,0.9167,0.5567,0.4482,0.2095,0.9789,0.001,0.2737,0.5004,0.0051,0.28,0.12,0.22,0.6,0.0129,0.2694,0.3774,0.7561,0.2439,1.22,1.22,0.96,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0212,0.0382,0.0088,0.0414,0.0305,0.0201,0.0069,-0.0028,-0.0074,-0.0042,0.2902,0.2218,0.2069,0.2842,0.338,0.2016,0.3612,0.2442,0.2995,0.289,frontier_jumper,70,166
103,75,-28,-28,35.56,emerging_mover,False,0.3,44,3,Cluster 44,scenario_projection,UNDP_HDR_2025_Table_1,2023,Iran (Islamic Republic of),IRN,Iran,0.799,0.774,-0.025,0.774,0.799,91567737,un_wpp_owid_2024,101861995,un_wpp_owid_2050,0.7658,-0.0332,0.7658,-0.0332,0.8168,0.0178,0.769,0.8168,0.8452,0.8452,0.769,True,True,77.654,16095.7717,13.9683,10.8467,0.8479,0.7253,0.7304,0.896709,0.780508,0.778608,0.8168,3.5e-07,77.654,16095.7717,13.9683,10.8467,0.85,1.0506,0.8999,32.0,40.0,8.0,23.9174,16.0061,65.0,58.6,-6.4,11.0826,25.3939,14.3113,0.2731,0.4333,0.7065,0.8151,0.3909,0.1,0.0,0.6088,0.0,0.6088,0.9167,0.6278,0.2644,0.3809,0.9153,-0.0049,0.3028,0.5028,0.0028,0.16,0.68,0.75,0.4,0.3293,0.1477,0.2471,0.3926,0.6074,1.08,1.08,0.96,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.003,0.0048,0.0018,0.0061,0.0021,0.0049,0.0009,-0.0006,-0.0017,-0.0034,0.2941,0.2489,0.2069,0.3274,0.3953,0.2124,0.4044,0.2683,0.3521,0.3185,fast_converger,80,132
104,120,16,+16,61.21,rapid_industrializer,False,0.32,44,3,Cluster 44,scenario_projection,UNDP_HDR_2025_Table_1,2023,Morocco,MAR,Morocco,0.71,0.683,-0.027,0.683,0.71,38081176,un_wpp_owid_2024,43440432,un_wpp_owid_2050,0.6672,-0.0428,0.6672,-0.0428,0.8162,0.1062,0.675,0.8162,0.8493,0.8493,0.675,True,True,75.313,8652.8809,15.075,6.198,0.8134,0.5696,0.6412,0.925543,0.746635,0.786837,0.8162,-3e-08,75.313,8652.8809,15.075,6.198,0.96,1.1025,0.9501,30.2,36.0,5.8,26.6413,21.88,64.0,59.36,-4.64,9.3587,18.76,9.4013,0.3686,0.316,0.6846,0.9016,0.4255,0.21,0.0,0.3073,0.0,0.3073,0.0364,0.428,0.379,0.2568,0.9332,-0.0026,0.3156,0.5486,0.0045,0.16,0.12,0.22,0.6,0.0134,0.37,0.2919,0.6858,0.3142,1.16,1.16,0.94,0.363,44.1265,0.2774,4.4126,0.4768,-0.2828,-0.2617,1.0809,5.4779,0.1286,0.0169,0.026,0.0056,0.0334,0.0152,0.0174,0.0033,-0.0003,-0.0057,-0.0057,0.3821,0.231,0.1679,0.3086,0.4312,0.1814,0.3856,0.2614,0.3593,0.4473,accelerator,77,158
105,130,25,+25,70.29,rapid_industrializer,False,0.33,44,3,Cluster 44,scenario_projection,UNDP_HDR_2025_Table_1,2023,Bangladesh,BGD,Bangladesh,0.685,0.67,-0.015,0.67,0.685,173562366,un_wpp_owid_2024,214709097,un_wpp_owid_2050,0.6516,-0.0334,0.6516,-0.0334,0.8161,0.1311,0.6524,0.8161,0.8491,0.8491,0.6524,True,True,74.672,8497.6586,12.3102,6.79,0.804,0.5387,0.6386,0.920553,0.741062,0.796759,0.8161,1.2e-07,74.672,8497.6586,12.3102,6.79,0.92,1.0815,0.9497,27.6,36.5,8.9,26.7104,20.8312,67.0,59.88,-7.12,6.2896,19.2888,12.9992,0.3479,0.3221,0.67,0.9026,0.4491,0.055,0.0,0.3313,0.0,0.3313,0.6538,0.5292,0.3723,0.255,0.9481,-0.0027,0.3284,0.5639,0.0052,0.28,0.12,0.22,0.6,0.0137,0.463,0.3591,0.7131,0.2869,1.16,1.16,0.94,0.3914,45.7602,0.254,2.9308,0.4722,-0.6005,-0.584,1.2056,4.2638,0.2491,0.0205,0.0341,0.007,0.0371,0.021,0.0226,0.0072,-0.0045,-0.0065,-0.0073,0.3833,0.2487,0.1766,0.3386,0.4528,0.2019,0.3899,0.2759,0.3603,0.4557,accelerator,77,164
106,88,-18,-18,45.1,fast_converger,False,0.38,45,5,Cluster 45,scenario_projection,UNDP_HDR_2025_Table_1,2023,Ecuador,ECU,Ecuador,0.777,0.74,-0.037,0.74,0.777,18135478,un_wpp_owid_2024,21337230,un_wpp_owid_2050,0.7415,-0.0355,0.7415,-0.0355,0.8137,0.0367,0.7507,0.8137,0.8423,0.8423,0.7507,True,False,77.392,13986.397,14.8517,8.97,0.844,0.6801,0.7102,0.910632,0.760227,0.778228,0.8137,6e-08,77.392,13986.397,14.8517,8.97,0.91,1.0815,0.945,28.8,37.0,8.2,26.1062,20.03,66.5,59.94,-6.56,7.3938,20.03,12.6362,0.3342,0.3342,0.6683,0.8948,0.4518,0.09,0.0,0.365,0.0,0.365,0.8124,0.6238,0.3854,0.2659,0.9644,-0.0016,0.379,0.5005,0.0033,0.16,0.46,0.58,0.42,0.1617,0.2371,0.3125,0.5773,0.4227,0.9412,0.944,1.049,0.3599,14.0984,0.2003,2.5502,0.5446,0.2034,0.1624,2.2202,6.8886,0.1308,0.0047,0.0074,0.0029,0.0111,0.0068,0.0068,0.0012,-0.0,-0.0015,-0.0027,0.4145,0.3252,0.2678,0.3646,0.4895,0.2718,0.4537,0.3246,0.4105,0.4682,moderate,82,135
107,106,-1,-1,54.64,rapid_industrializer,True,0.39,45,5,Cluster 45,scenario_projection,UNDP_HDR_2025_Table_1,2023,South Africa,ZAF,South Africa,0.741,0.717,-0.024,0.717,0.741,64007187,un_wpp_owid_2024,79177332,un_wpp_owid_2050,0.7099,-0.0311,0.7099,-0.0311,0.8147,0.0737,0.7123,0.8147,0.8434,0.8434,0.7123,True,True,66.139,13693.9886,13.7933,11.61,0.6785,0.7457,0.7072,0.785479,0.856277,0.803978,0.8147,-8e-08,66.139,13693.9886,13.7933,11.61,0.9,1.1025,0.9611,28.0,35.0,7.0,27.9906,23.3987,65.0,59.4,-5.6,7.0094,17.2013,10.1919,0.3939,0.2896,0.6835,0.9109,0.4273,0.15,0.0481,0.2364,0.0,0.2364,0.935,0.6697,0.4308,0.2507,0.9854,0.0,0.388,0.5643,0.0043,0.16,0.12,0.22,0.6,0.0145,0.2215,0.3593,0.6744,0.3256,1.0,1.0,1.0,0.3624,10.1998,0.2336,2.2559,0.6785,-0.0562,0.1564,1.3912,6.2192,0.1644,0.0086,0.0112,0.0112,0.0181,0.0166,0.0147,0.0023,-0.0002,-0.0034,-0.0055,0.4356,0.3085,0.2666,0.3798,0.5031,0.265,0.4919,0.329,0.4254,0.4751,moderate,82,148
108,108,0,0,48.27,fast_converger,False,0.25,45,5,Cluster 45,scenario_projection,UNDP_HDR_2025_Table_1,2023,Marshall Islands,MHL,Marshall Islands,0.733,0.628,-0.105,0.628,0.733,37572,un_wpp_owid_2024,25212,un_wpp_owid_2050,0.7018,-0.0312,0.7018,-0.0312,0.8139,0.0809,0.7059,0.8139,0.8512,0.8512,0.7059,True,False,66.945,7223.8608,16.3861,11.6367,0.6904,0.8137,0.6152,0.797953,0.921845,0.732956,0.8139,-2e-08,66.945,7223.8608,16.3861,11.6367,0.9,1.0,0.9335,22.5,29.5,7.0,33.4102,32.3851,63.0,57.4,-5.6,3.5898,10.2149,6.6252,0.5642,0.178,0.7422,0.8624,0.3364,0.15,0.3599,0.0,0.0,0.0,0.9167,0.6256,0.3761,0.3384,0.9494,0.0004,0.2531,0.4511,0.0036,0.16,0.12,0.22,0.6,0.0138,0.2113,0.348,0.6727,0.3273,1.22,1.22,0.96,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0141,0.0094,0.0109,0.0229,0.0193,0.0128,0.0027,-0.0019,-0.005,-0.0042,0.2429,0.217,0.2069,0.2764,0.3277,0.1997,0.3534,0.2102,0.261,0.2363,frontier_jumper,73,150
109,115,6,+6,54.98,rapid_industrializer,False,0.29,45,5,Cluster 45,scenario_projection,UNDP_HDR_2025_Table_1,2023,Belize,BLZ,Belize,0.721,0.683,-0.038,0.683,0.721,417077,un_wpp_owid_2024,516628,un_wpp_owid_2050,0.6905,-0.0305,0.6905,-0.0305,0.8128,0.0918,0.6963,0.8128,0.8415,0.8415,0.6963,True,False,73.566,12343.0781,11.9838,8.7623,0.7877,0.6038,0.6923,0.888244,0.749537,0.80654,0.8128,1.2e-07,73.566,12343.0781,11.9838,8.7623,0.96,1.0506,0.9664,25.5,33.0,7.5,29.9027,26.6159,65.0,59.0,-6.0,5.0973,14.3841,9.2868,0.4511,0.2438,0.6949,0.9055,0.4091,0.125,0.16,0.1084,0.0,0.1084,0.9167,0.5774,0.4142,0.2597,0.9651,0.0005,0.2909,0.5018,0.0043,0.16,0.12,0.22,0.6,0.013,0.2406,0.367,0.7375,0.2625,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0115,0.0198,0.0072,0.0279,0.019,0.0138,0.0026,-0.0018,-0.005,-0.0033,0.2902,0.2383,0.2069,0.3105,0.3729,0.2082,0.3875,0.2574,0.3319,0.3057,moderate,82,152
110,122,12,+12,56.75,rapid_industrializer,False,0.25,45,5,Cluster 45,scenario_projection,UNDP_HDR_2025_Table_1,2023,Samoa,WSM,Samoa,0.708,0.702,-0.006,0.702,0.708,218031,un_wpp_owid_2024,272728,un_wpp_owid_2050,0.6785,-0.0295,0.6785,-0.0295,0.8134,0.1054,0.6825,0.8134,0.8507,0.8507,0.6825,True,True,71.698,5952.0169,12.4364,11.333,0.7603,0.6996,0.5874,0.874459,0.843661,0.729466,0.8134,-2e-08,71.698,5952.0169,12.4364,11.333,0.9,1.0,0.9371,22.5,30.0,7.5,32.9587,31.7012,63.5,57.5,-6.0,3.5413,10.7988,7.2575,0.5513,0.1878,0.7391,0.8699,0.3409,0.125,0.3362,0.0,0.0,0.0,0.9167,0.5761,0.3712,0.3263,0.9425,0.0003,0.2484,0.4645,0.0041,0.16,0.12,0.22,0.6,0.0133,0.2336,0.3771,0.7145,0.2855,1.22,1.22,0.96,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.019,0.0179,0.0098,0.0319,0.0208,0.0151,0.0032,-0.0022,-0.0059,-0.0041,0.2508,0.2093,0.2069,0.264,0.3113,0.1966,0.3411,0.209,0.2552,0.2395,frontier_jumper,73,155
111,124,13,+13,60.57,rapid_industrializer,False,0.3,46,2,Cluster 46,scenario_projection,UNDP_HDR_2025_Table_1,2023,Nauru,NRU,Nauru,0.703,0.74,0.037,0.74,0.703,11968,un_wpp_owid_2024,15779,un_wpp_owid_2050,0.6732,-0.0298,0.6732,-0.0298,0.8112,0.1082,0.6759,0.8112,0.8491,0.8491,0.6759,True,True,62.109,19642.3777,12.8426,9.4486,0.6193,0.6491,0.759,0.754366,0.807364,0.876461,0.8112,1.6e-07,62.109,19642.3777,12.8426,9.4486,0.9,1.0,0.9693,26.5,33.5,7.0,29.1955,25.6371,65.0,59.4,-5.6,5.8045,14.9629,9.1585,0.4316,0.2519,0.6835,0.9109,0.4273,0.15,0.1261,0.1347,0.0,0.1347,0.9167,0.6097,0.4331,0.2468,0.9771,0.0007,0.2954,0.4454,0.004,0.16,0.12,0.22,0.6,0.0138,0.2365,0.3525,0.6846,0.3154,1.22,1.22,0.96,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.01,0.0217,0.0165,0.0293,0.0249,0.0162,0.0033,-0.0023,-0.0061,-0.0052,0.2508,0.2568,0.2069,0.3401,0.4121,0.2156,0.4171,0.2471,0.331,0.2761,frontier_jumper,77,158
112,125,13,+13,62.83,rapid_industrializer,False,0.31,46,2,Cluster 46,scenario_projection,UNDP_HDR_2025_Table_1,2023,Bhutan,BTN,Bhutan,0.698,0.666,-0.032,0.666,0.698,791530,un_wpp_owid_2024,882345,un_wpp_owid_2050,0.6581,-0.0399,0.6581,-0.0399,0.8102,0.1122,0.6609,0.8102,0.8446,0.8446,0.6609,True,True,72.975,13842.8035,13.1527,5.8358,0.779,0.5163,0.7087,0.899992,0.701494,0.842392,0.8102,8e-08,72.975,13842.8035,13.1527,5.8358,0.9,1.0506,0.981,28.1,35.5,7.4,25.5122,21.138,68.0,62.08,-5.92,6.4878,16.782,10.2942,0.3405,0.2703,0.6108,0.9471,0.5491,0.13,0.0,0.2174,0.0,0.2174,0.5686,0.5388,0.4743,0.1717,0.9891,0.0008,0.3121,0.4969,0.0045,0.28,0.12,0.22,0.6,0.0133,0.2531,0.3488,0.7185,0.2815,1.16,1.16,0.94,0.4541,30.334,0.2565,3.1353,0.5284,-0.6657,-0.5048,1.5338,4.9931,0.1948,0.0136,0.0304,0.0091,0.0316,0.0265,0.0184,0.0061,-0.0114,-0.0056,-0.0064,0.3766,0.2403,0.1884,0.299,0.4216,0.201,0.3758,0.2568,0.3277,0.4337,accelerator,81,164
113,99,-14,-14,48.73,fast_converger,False,0.37,47,1,Cluster 47,scenario_projection,UNDP_HDR_2025_Table_1,2023,Paraguay,PRY,Paraguay,0.756,0.717,-0.039,0.717,0.756,6929152,un_wpp_owid_2024,8640471,un_wpp_owid_2050,0.7223,-0.0337,0.7223,-0.0337,0.8091,0.0531,0.7308,0.8091,0.8384,0.8384,0.7308,True,False,73.844,15252.2202,13.9871,8.9307,0.7918,0.6586,0.7227,0.871177,0.75708,0.803079,0.8091,-1e-07,73.844,15252.2202,13.9871,8.9307,0.92,1.0506,0.9621,26.5,34.5,8.0,28.7784,24.3349,65.5,59.1,-6.4,5.7216,16.5651,10.8435,0.4118,0.2803,0.692,0.9068,0.4136,0.1,0.0766,0.2075,0.0,0.2075,0.9472,0.622,0.4086,0.2583,0.9711,-0.0003,0.3729,0.4943,0.0036,0.16,0.24,0.5,0.46,0.069,0.2561,0.3706,0.6714,0.3286,0.9412,0.944,1.049,0.3687,19.4359,0.2107,1.9732,0.6627,0.0301,0.0466,2.3611,5.7227,0.1754,0.0059,0.0102,0.0049,0.0153,0.011,0.0093,0.0016,-0.0005,-0.0021,-0.0023,0.395,0.3043,0.2465,0.3722,0.5097,0.2558,0.4812,0.3104,0.4023,0.4513,moderate,86,141
114,86,-28,-28,36.04,emerging_mover,False,0.31,48,4,Cluster 48,scenario_projection,UNDP_HDR_2025_Table_1,2023,Moldova (Republic of),MDA,Moldova,0.785,0.767,-0.018,0.767,0.785,3034967,un_wpp_owid_2024,2351806,un_wpp_owid_2050,0.752,-0.033,0.752,-0.033,0.8048,0.0198,0.7502,0.8048,0.8353,0.8353,0.7502,True,True,71.198,15866.5421,14.6386,11.83,0.7529,0.7754,0.7283,0.800914,0.833015,0.781314,0.8048,2.5e-07,71.198,15866.5421,14.6386,11.83,0.92,1.0506,0.8496,38.0,44.5,6.5,17.0797,10.119,63.0,57.8,-5.2,19.9203,32.081,12.1607,0.1751,0.555,0.7301,0.7274,0.3545,0.175,0.0,0.9128,0.0,0.9128,0.5074,0.5437,0.1246,0.5072,0.8456,-0.0093,0.3123,0.4786,0.003,0.16,0.12,0.22,0.6,0.0134,0.2019,0.2998,0.6445,0.3555,1.0,1.0,1.0,0.4311,45.9541,0.3367,3.2822,0.3798,-0.2122,-0.3104,1.0763,4.6795,0.1801,0.0045,0.0052,0.0027,0.0116,-0.0028,0.006,0.0013,-0.0031,-0.0026,-0.0031,0.3615,0.2491,0.1763,0.3149,0.4251,0.1975,0.3588,0.2602,0.3447,0.4348,moderate,89,135
115,100,-15,-15,44.51,fast_converger,False,0.31,48,4,Cluster 48,scenario_projection,UNDP_HDR_2025_Table_1,2023,Egypt,EGY,Egypt,0.754,0.739,-0.015,0.739,0.754,116538256,un_wpp_owid_2024,161630196,un_wpp_owid_2050,0.7227,-0.0313,0.7227,-0.0313,0.8053,0.0513,0.7132,0.8053,0.8408,0.8408,0.7132,True,True,71.633,16218.1352,13.1272,10.1361,0.7593,0.6797,0.7315,0.825309,0.778709,0.812609,0.8053,1.9e-07,71.633,16218.1352,13.1272,10.1361,0.93,1.1025,0.9362,24.1,29.5,5.4,33.4085,32.1722,62.0,57.68,-4.32,4.5915,10.1478,5.5563,0.5578,0.1759,0.7337,0.8681,0.3491,0.23,0.4304,0.0,0.0,0.0,0.3553,0.4501,0.3432,0.362,0.9092,-0.001,0.3121,0.5406,0.0036,0.16,0.12,0.22,0.6,0.0141,0.3228,0.276,0.6169,0.3831,1.16,1.16,0.94,0.4163,51.0419,0.295,3.6472,0.3776,-0.8306,-0.457,0.6856,4.4972,0.1488,0.0071,0.0116,0.0036,0.0178,0.0113,0.0102,0.002,-0.004,-0.0037,-0.0046,0.393,0.2236,0.1738,0.3143,0.405,0.1833,0.36,0.2653,0.357,0.4455,accelerator,85,148
116,117,1,+1,52.89,rapid_industrializer,False,0.33,48,4,Cluster 48,scenario_projection,UNDP_HDR_2025_Table_1,2023,Kyrgyzstan,KGZ,Kyrgyzstan,0.72,0.692,-0.028,0.692,0.72,7186014,un_wpp_owid_2024,9642949,un_wpp_owid_2050,0.6893,-0.0307,0.6893,-0.0307,0.8056,0.0856,0.6833,0.8056,0.8454,0.8454,0.6833,True,True,71.677,6078.1176,12.7139,12.0659,0.76,0.7298,0.5904,0.841374,0.858073,0.724177,0.8056,-2e-07,71.677,6078.1176,12.7139,12.0659,0.93,1.0302,0.969,27.1,33.5,6.4,29.1452,25.6497,64.5,59.38,-5.12,6.3548,14.9703,8.6155,0.432,0.2521,0.6841,0.9106,0.4264,0.18,0.1508,0.135,0.0,0.135,0.4275,0.5552,0.4207,0.2577,0.9634,0.0002,0.327,0.4814,0.004,0.16,0.12,0.22,0.6,0.0135,0.2395,0.3368,0.6805,0.3195,1.22,1.22,0.96,0.432,63.9359,0.3088,3.474,0.4572,-0.4113,-0.7281,0.6304,4.604,0.2991,0.0176,0.0146,0.004,0.0284,0.0212,0.0155,0.003,-0.0075,-0.0058,-0.0054,0.3789,0.2523,0.1914,0.3517,0.4429,0.212,0.3866,0.2663,0.3497,0.4377,frontier_jumper,80,154
