Rank_Economic_Strength_2050,ISO3,Country,Population_2025,Population_2050,GDP_PPP_PerCapita_2025,GDP_PPP_PerCapita_2025_2021_IntlDollar,GDP_PPP_PerCapita_2050,GDP_PPP_PerCapita_2050_2021_IntlDollar,GDP_Nominal_PerCapita_2025,GDP_Nominal_PerCapita_2025_2021_USD,GDP_Nominal_PerCapita_2050,GDP_Nominal_PerCapita_2050_2021_USD,GDP_PPP_Total_2025,GDP_PPP_Total_2050,GDP_PPP_Total_2050_2021_IntlDollar,GDP_Nominal_Total_2025,GDP_Nominal_Total_2050,GDP_Nominal_Total_2050_2021_USD,GDP_PPP_PerCapita_P10_2050,GDP_PPP_PerCapita_P90_2050,GDP_Nominal_PerCapita_P10_2050,GDP_Nominal_PerCapita_P90_2050,Real_GDP_PerCapita_CAGR_2025_2050,Structural_GDP_PerCapita_CAGR_Signal,Income_Index_2050,Income_Index_2050_Recomputed_From_PPP,Income_Index_2050_PPP_Mismatch,CPI_U_2021_Annual_Average_2013_Base,CPI_U_2025_Annual_Average_2013_Base,Observed_Inflation_Factor_2021_2025,Long_Run_USD_Inflation_Assumption_2026_2050,Inflation_Factor_2021_to_2050,Inflation_Factor_Low_2021_to_2050,Inflation_Factor_High_2021_to_2050,PPP_to_Nominal_Ratio_2025,PPP_to_Nominal_Ratio_2050,Economic_Strength_Score_2050,Growth_Prospect_Score,Industrialization_Signal,Future_Readiness,Demographic_Dividend,Resource_Drag,Growth_Volatility,Trajectory,Baseline_Source,PPP_Baseline_Year,Nominal_Baseline_Year,PPP_Baseline_Proxy,Nominal_Baseline_Proxy,Projection_Type,Rank_GDP_PPP_PerCapita_2050,Rank_GDP_Nominal_PerCapita_2050,Rank_GDP_PPP_Total_2050,Rank_GDP_Nominal_Total_2050,Rank_Economic_Resilience_2050
42,NOR,Norway,5588752,5899827,108026.8,90863.78,204739.38,104967.87,91905.06,77303.42,172130.84,88249.79,603734993859.41,1207926935444.83,619292273558.49,513634585309.05,1015542153835.48,520658485946.96,155365.54,304240.08,117558.62,281362.62,0.005788,0.022429,0.999956,0.999956,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.85076,0.84073,60.02,0.6764,0.54,0.5443,0.5102,0.0356,0.25,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,6,6,57,42,18
43,DZA,Algeria,47250050,59565550,17984.51,15127.18,49047.38,25146.11,5863.24,4931.71,16395.73,8405.93,849769198213.57,2921534177144.34,1497841872510.5,277038547448.78,976620535445.46,500703754550.52,34328.97,78922.7,10328.05,29020.81,0.020536,0.019164,0.794545,0.794545,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.32602,0.33428,48.96,0.4621,0.3,0.2981,0.4463,0.3505,0.68,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,113,121,34,43,63
44,KAZ,Kazakhstan,20794640,26544266,42073.91,35389.31,102859.78,52735.2,14543.01,12232.45,36438.83,18681.83,874911757300.16,2730337425835.39,1399817176363.2,302416571517.41,967242054603.26,495895499553.58,74150.52,160779.26,23641.53,62652.96,0.016083,0.027438,0.901003,0.901003,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.34565,0.35426,53.24,0.7127,0.42,0.421,0.468,0.1804,0.58,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,53,72,36,44,44
45,IRL,Ireland,5280863,5970040,143826.64,120975.84,204779.25,104988.31,115338.78,97014.06,161664.21,82883.65,759528861278.55,1222540316038.86,626784410232.4,609088368315.05,965141800913.47,494818720118.97,155659.54,303789.94,110597.72,263811.67,-0.005654,0.021647,0.999984,0.999984,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.80193,0.78946,55.91,0.6878,0.52,0.519,0.4396,0.0118,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,3,8,56,45,33
46,MAR,Morocco,38274518,43440432,10771.55,9060.2,46486.67,23833.26,4289.1,3607.66,21072.64,10803.74,412275936278.61,2019401108339.58,1035327110368.32,164163106705.13,915404598992.96,469318945294.88,35638.55,68384.44,14539.62,34098.91,0.039446,0.032722,0.786837,0.786837,-2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.39819,0.4533,50.3,0.6858,0.32,0.3156,0.379,0.0134,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,115,108,41,46,56
47,PER,Peru,34443141,40583877,18408.36,15483.69,46147.71,23659.48,8777.33,7382.81,22454.74,11512.32,634041757103.08,1872853178167.86,960193426203.96,302318971248.52,911300399042.47,467214762298.47,33552.67,71529.48,14693.57,38285.61,0.017104,0.029443,0.785785,0.785785,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.47681,0.48658,52.76,0.68,0.39,0.3921,0.3472,0.1051,0.52,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,116,104,45,47,48
48,KEN,Kenya,57292232,83593234,6867.76,5776.63,26663.51,13670.12,2203.43,1853.36,9722.26,4984.51,393469421502.52,2228889088708.38,1142729539968.08,126239478443.81,812715513824.56,416671260110.05,20050.87,39977.96,6580.0,16034.79,0.035056,0.032796,0.706931,0.706931,-2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.32084,0.36463,48.63,0.6689,0.3,0.2963,0.2005,0.014,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,144,147,39,48,64
49,HKG,Hong Kong,7359016,6090616,77283.81,65005.16,183124.96,93886.37,55673.82,46828.5,132426.17,67893.6,568732839884.84,1115343834688.08,571825827303.92,409704532959.65,806556933658.24,413513816558.47,142614.41,265231.58,92818.0,210981.4,0.014813,0.025777,0.983918,0.983918,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.72038,0.72315,55.2,0.6297,0.41,0.4072,0.916,0.0123,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,12,11,60,49,37
50,ROU,Romania,18890488,16027269,50557.73,42525.25,113778.95,58333.35,20686.18,17399.62,48144.22,24683.07,955060276061.03,1823565840028.47,934924292121.15,390772101319.15,771620289983.25,395602142551.46,85433.07,170847.48,32534.99,79521.3,0.012723,0.030178,0.915506,0.915506,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.40916,0.42314,52.43,0.7856,0.39,0.3873,0.1896,0.0125,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,40,61,46,50,49
51,CHL,Chile,19785857,20320305,37058.45,31170.7,80932.02,41493.05,17115.06,14395.86,37867.36,19414.23,733233199217.04,1644563266986.85,843151431380.25,338636096988.27,769476396038.58,394502989186.87,59819.65,123428.28,25190.17,63526.08,0.011508,0.027378,0.866538,0.866538,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.46184,0.46789,54.14,0.7172,0.35,0.3486,0.4427,0.0833,0.42,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,68,70,50,51,42
52,TZA,Tanzania,70260372,129621091,4369.89,3675.62,17988.56,9222.56,1232.94,1037.06,5899.48,3024.61,307030357373.39,2331697278675.08,1195438289012.96,86627122102.44,764697264336.0,392052775311.45,13351.54,27321.53,3940.86,9856.32,0.037483,0.033823,0.650357,0.650357,-4e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.28215,0.32796,46.79,0.727,0.33,0.3307,0.018,0.0139,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,158,164,38,52,78
53,SGP,Singapore,5841784,6081693,156846.33,131926.99,204736.53,104966.41,97179.83,81740.15,122896.08,63007.61,916262349670.37,1245144748957.97,638373480932.13,567703576091.88,747416228157.08,383192957825.26,156608.81,301844.91,84606.04,199305.47,-0.009103,0.024061,0.999954,0.999954,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.61959,0.60026,55.45,0.678,0.52,0.522,0.631,0.0117,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,7,16,55,53,36
54,GTM,Guatemala,18614912,24670861,14846.25,12487.52,60644.64,31091.91,6344.57,5336.56,28839.57,14785.76,276361715239.05,1496155427214.06,767064189834.51,118103630727.53,711496971194.16,364777507638.37,46327.32,89526.24,19827.87,46831.64,0.037163,0.031488,0.825055,0.825055,2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.42735,0.47555,50.14,0.6842,0.34,0.3446,0.374,0.0144,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,95,88,53,54,57
55,KWT,Kuwait,4983141,6367757,54377.26,45737.94,171623.98,87989.93,33633.75,28290.11,107167.6,54943.78,270969551360.45,1092859817734.92,560298492687.01,167601734891.84,682417257896.24,349868624299.27,123427.78,268892.87,69365.09,184696.01,0.026517,0.02368,0.974594,0.974594,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.61853,0.62443,50.71,0.6311,0.38,0.379,0.6953,0.3035,0.58,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,16,26,61,55,53
56,CZE,Czechia,10699333,9825542,58863.13,49511.11,118717.66,60865.38,32511.55,27346.2,66204.2,33942.24,629796232412.57,1166465391996.48,598035347535.96,347851920028.05,650492106278.67,333500912686.26,89747.57,177074.53,45043.84,108622.29,0.008293,0.021484,0.921614,0.921614,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.55232,0.55766,53.38,0.7497,0.49,0.4936,0.3275,0.012,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,36,40,59,56,43
57,FIN,Finland,5606853,5351645,66624.75,56039.58,144148.31,73903.42,54369.48,45731.4,117121.64,60047.11,373555194101.08,771430556631.53,395504868125.9,304841711869.19,626793430810.62,321350834581.14,109388.21,214198.78,79990.91,191442.02,0.01113,0.022837,0.949515,0.949515,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.81606,0.81251,54.42,0.6986,0.56,0.5635,0.4131,0.0117,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,25,21,75,57,41
58,UZB,Uzbekistan,36871340,52210751,12909.47,10858.45,40682.09,20857.31,3441.71,2894.9,11975.04,6139.49,475989636460.73,2124042685349.69,1088975818939.81,126900391033.28,625226019156.84,320547238023.94,31226.11,59774.38,8272.45,19354.48,0.026454,0.031237,0.767664,0.767664,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.2666,0.29436,49.77,0.6756,0.3,0.2955,0.4563,0.0135,0.22,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,123,137,40,58,59
59,GHA,Ghana,34939885,50553046,8321.98,6999.81,35425.9,18162.51,2500.62,2103.33,12367.45,6340.67,290769192534.38,1790887061716.84,918170203505.46,87371379753.95,625212433825.96,320540272958.26,26776.83,52848.15,8413.2,20294.67,0.038876,0.033634,0.747777,0.747777,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.30048,0.34911,47.57,0.7067,0.31,0.3116,0.2487,0.0137,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,128,134,47,59,70
60,NZL,New Zealand,5233789,5755279,57135.19,48057.7,123203.0,63164.97,50620.63,42578.15,108031.31,55386.59,299033517761.32,709067663360.36,363532025376.63,264937691241.85,621750317879.28,318765280122.99,94061.45,181982.93,74230.52,175530.13,0.010994,0.024038,0.926945,0.926945,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.88598,0.87686,54.48,0.7135,0.55,0.5537,0.4845,0.0117,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,33,25,79,60,40
61,PRT,Portugal,10399304,9770270,53638.28,45116.37,110972.64,56894.58,29957.02,25197.52,62723.21,32157.57,557800749685.31,1084232610204.15,555875408136.6,311532134378.9,612822694461.2,314188175298.33,83451.05,166386.91,42450.88,103448.51,0.009321,0.021437,0.911916,0.911916,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.5585,0.56521,52.84,0.715,0.52,0.5192,0.2456,0.012,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,44,44,62,61,47
62,CIV,Cote d'Ivoire,32625921,55746985,7890.09,6636.53,27112.42,13900.27,2802.38,2357.15,10542.71,5405.14,257421371570.99,1511435519778.19,774898143185.95,91430244829.92,587724041649.46,301320342561.98,20154.6,41116.37,7053.43,17586.98,0.030014,0.027306,0.709331,0.709331,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.35518,0.38885,45.71,0.612,0.32,0.3155,0.0616,0.0149,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,143,144,52,62,81
63,UKR,Ukraine,37615690,31990136,19132.33,16092.63,51977.53,26648.37,5535.17,4655.76,16069.52,8238.69,719675615307.29,1662768314652.11,852484980478.32,208209423493.7,514066140865.45,263556660419.0,39456.8,77211.07,10978.72,26257.87,0.02038,0.026625,0.802886,0.802886,2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.28931,0.30916,50.32,0.5181,0.31,0.3104,0.3901,0.015,0.22,conflict_recovery,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,109,124,49,63,55
64,QAT,Qatar,3085226,4164465,129244.9,108710.8,204773.55,104985.39,77197.63,64932.67,117868.96,60430.26,398749705514.22,852772302511.76,437207982166.35,238172131763.02,490861156745.18,251659693018.04,150410.56,314230.21,77919.55,198960.19,-0.001394,0.019985,0.99998,0.99998,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.5973,0.57561,52.05,0.6413,0.41,0.4053,0.7346,0.2113,0.5,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,4,19,72,64,50
65,DOM,Dominican Rep.,11484236,12996292,28512.55,23982.55,80656.04,41351.56,11242.72,9456.51,33884.66,17372.33,327444916104.56,1048229463328.45,537416948415.52,129114059676.26,440374914121.04,225775892383.52,61860.1,118600.27,23389.41,54808.08,0.022031,0.03375,0.866047,0.866047,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.39431,0.42011,50.37,0.7521,0.39,0.3913,0.4441,0.0135,0.22,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,69,75,65,65,54
66,AGO,Angola,38880022,74295397,10070.66,8470.66,21497.17,11021.39,2750.06,2313.14,5726.87,2936.11,391547642717.97,1597141086965.34,818838545541.83,106922328800.69,425480039298.88,218139436384.14,14111.68,36832.57,3383.43,10793.46,0.010585,0.010747,0.675971,0.675971,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.27308,0.2664,40.85,0.3487,0.26,0.256,0.0796,0.5042,0.82,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,150,165,51,66,115
67,HUN,Hungary,9637719,8725349,49858.32,41936.96,99762.53,51147.27,23938.33,20135.07,48512.52,24871.89,480520459603.68,870462906699.54,446277781147.23,230710907499.59,423288653422.5,217015934372.71,75170.27,149285.96,32898.42,79854.25,0.007973,0.027156,0.896608,0.896608,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.48013,0.48628,50.02,0.75,0.35,0.3479,0.2763,0.0122,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,57,60,71,67,58
68,GRC,Greece,9997225,8812069,45058.24,37899.5,85361.61,43764.06,25120.83,21129.69,47720.84,24466.01,450457364658.87,752212416436.63,385651916440.14,251138551256.15,420519341836.36,215596135527.23,64199.11,127972.31,32301.08,78696.28,0.005772,0.020087,0.874198,0.874198,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.55752,0.55904,51.77,0.6326,0.52,0.5231,0.2773,0.0123,0.22,stagnant,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,65,62,76,68,51
69,ECU,Ecuador,18249238,21337230,16254.22,13671.79,43784.38,22447.82,7001.36,5889.0,19354.4,9922.81,296627186387.57,934237323880.22,478974298338.6,127769483270.97,412969378643.35,211725343566.33,31534.12,68502.14,12545.38,33308.68,0.020032,0.02561,0.778228,0.778228,2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.43074,0.44204,47.38,0.5773,0.38,0.379,0.3854,0.1617,0.58,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,120,112,69,69,71
70,OMN,Oman,5362055,7826998,42884.36,36071.0,105488.84,54083.09,20811.07,17504.66,51772.75,26543.38,229948310093.05,825660909425.74,423308237263.82,111590101201.66,405225231972.74,207754995644.05,76876.79,163134.21,33957.25,88070.91,0.016333,0.025922,0.904631,0.904631,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.48528,0.49079,49.51,0.6668,0.36,0.3576,0.625,0.2079,0.55,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,48,57,73,70,61
71,UGA,Uganda,51055668,85431201,3377.46,2840.86,12429.85,6372.66,1110.61,934.16,4611.68,2364.36,172438374823.86,1061896682386.44,544423997364.66,56702973032.66,393981438756.87,201990413317.29,9220.06,18890.23,3078.72,7709.45,0.032844,0.030335,0.597222,0.597222,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.32883,0.37102,44.0,0.6225,0.29,0.2881,0.0084,0.0145,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,169,168,64,71,92
72,CMR,Cameroon,29760304,51096324,5758.86,4843.91,20063.85,10286.54,1882.9,1583.75,7243.16,3713.5,171385390557.4,1025189100393.24,525604380678.96,56035538635.39,370099093325.48,189746169426.27,14956.02,30344.59,4859.29,12050.03,0.030583,0.0289,0.666052,0.666052,5e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.32696,0.36101,44.45,0.62,0.31,0.3138,0.1017,0.015,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,152,156,67,72,90
73,COD,Congo (DRC),112222639,218246071,1862.25,1566.38,4137.98,2121.5,707.7,595.26,1615.46,828.23,208986123010.93,903097154927.56,463009039626.5,79419585027.22,352566723043.76,180757495414.6,3051.82,6324.43,1072.28,2715.95,0.012208,0.021373,0.439113,0.439113,-1.5e-07,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.38002,0.3904,42.52,0.4295,0.25,0.253,0.0,0.0167,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,190,188,70,73,102
74,LKA,Sri Lanka,23167102,24813694,16151.56,13585.45,43266.31,22182.21,4675.77,3932.89,13435.68,6888.34,374184931832.59,1073596875009.04,550422571183.74,108324018877.98,333388973777.95,170925251761.4,32870.5,64219.61,9186.69,21936.65,0.019805,0.028691,0.776517,0.776517,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.28949,0.31053,48.02,0.6519,0.3,0.3023,0.3206,0.0139,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,121,129,63,74,68
75,SDN,Sudan,51476241,85206382,2152.01,1810.1,7719.52,3957.72,1000.0,841.12,3850.27,1974.0,110777161902.97,657752025922.99,337223002169.04,51476055212.09,328067848154.2,168197162926.94,5727.18,11729.52,2570.9,6435.38,0.031786,0.015629,0.528747,0.528747,1e-07,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.46468,0.49877,40.26,0.2308,0.11,0.1134,0.014,0.0167,0.22,conflict_recovery,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,178,172,81,75,122
76,NPL,Nepal,29829001,34642021,5946.55,5001.78,30060.94,15411.95,1511.34,1271.22,9228.73,4731.48,177379563969.49,1041371807327.4,533901095550.95,45081838584.09,319701897029.04,163908021969.2,23043.76,44225.4,6367.01,14934.95,0.046043,0.034966,0.724171,0.724171,-3e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.25415,0.307,45.35,0.7005,0.28,0.2781,0.3843,0.0138,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,137,150,66,76,84
77,VEN,Venezuela,28504545,31094887,7342.17,6175.67,17438.54,8940.57,4268.85,3590.62,9630.68,4937.56,209285258479.3,542249543070.04,278006013865.59,121681556731.04,299465046246.19,153532787372.45,11344.18,30144.05,5638.49,18312.23,0.014909,0.005746,0.645893,0.645893,6e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.58141,0.55226,41.81,0.1435,0.27,0.2684,0.3288,0.6702,0.95,conflict_recovery,World Bank API with HDI-model proxy,2024,2024,True,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,161,148,85,77,110
78,PAN,Panama,4554069,5630682,42627.66,35855.09,107825.18,55280.91,19715.37,16583.04,51957.79,26638.25,194129314078.2,607129294134.21,311269224880.62,89785139581.78,292557773895.24,149991496692.7,82373.02,159168.93,35723.82,84368.72,0.017469,0.02892,0.90778,0.90778,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.4625,0.48187,48.2,0.7163,0.35,0.3451,0.3952,0.013,0.22,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,45,56,83,78,65
79,JOR,Jordan,11708715,16367354,12347.0,10385.34,38444.56,19710.15,5257.28,4422.02,17734.16,9092.13,144567445868.77,629235778879.12,322603002443.1,61556017260.89,290261344198.68,148814139746.58,29240.69,56998.39,12139.64,28922.19,0.025961,0.036138,0.759532,0.759532,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.42579,0.46129,47.35,0.805,0.38,0.379,0.346,0.013,0.22,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,124,118,82,79,73
80,SEN,Senegal,18857910,30364953,5268.56,4431.51,23896.63,12251.57,1797.17,1511.64,9491.28,4866.09,99354045710.08,725620197894.76,372018347226.21,33890884913.77,288202245232.85,147758459934.65,17863.29,36041.05,6385.46,15746.28,0.041515,0.03361,0.691182,0.691182,3e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.34111,0.39718,42.82,0.7002,0.32,0.3172,0.098,0.0138,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,147,149,77,80,100
81,LBY,Libya,7445712,9260610,14492.07,12189.61,65072.42,33361.99,6645.97,5590.08,30558.69,15667.14,107903783665.14,602610294602.78,308952378213.9,49484003577.03,282992097636.1,145087268444.44,43627.11,109217.57,18438.97,56418.68,0.041095,0.011692,0.835185,0.835185,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.45859,0.46961,43.25,0.2936,0.39,0.3931,0.5092,0.6378,0.88,conflict_recovery,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,86,80,84,81,98
82,SVK,Slovakia,5483654,4936493,48948.61,41171.78,101597.5,52088.04,26591.33,22366.57,55926.4,28672.91,268417223988.8,501535345715.55,257132244843.72,145817658114.84,276080263399.91,141543638930.94,76747.66,151650.89,38022.57,91827.23,0.009452,0.023032,0.899228,0.899228,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.54325,0.55047,49.66,0.7926,0.51,0.5118,0.3026,0.0121,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,56,51,88,82,60
83,CRI,Costa Rica,5138357,5354149,32539.15,27369.41,82917.48,42510.98,19443.04,16353.98,50879.13,26085.23,167197756155.26,443952569315.33,227610121056.02,99905289930.6,272414433787.04,139664204100.22,63486.36,122130.99,35060.37,82435.09,0.017769,0.031281,0.870022,0.870022,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.59753,0.61361,48.16,0.7363,0.33,0.3302,0.4741,0.0126,0.22,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,66,58,97,83,67
84,KHM,Cambodia,17787198,21931455,8264.98,6951.86,32592.74,16709.98,2721.21,2288.87,12179.64,6244.38,147010748524.35,714806312509.41,366474174420.9,48402702024.65,267117237631.53,136948383669.06,25057.83,47811.52,8427.52,19653.45,0.035702,0.035515,0.735795,0.735795,-2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.32925,0.37369,45.02,0.7012,0.3,0.3023,0.4408,0.0139,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,131,135,78,84,86
85,MMR,Myanmar,54653171,58623233,6163.02,5183.85,16574.38,8497.52,1394.54,1172.98,4004.44,2053.04,336828532809.87,971643534156.89,498152094882.16,76216029617.11,234753422532.25,120355773598.25,12741.8,24315.18,2770.63,6462.12,0.019966,0.026114,0.638587,0.638587,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.22628,0.2416,45.59,0.3853,0.31,0.3076,0.4749,0.016,0.22,conflict_recovery,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,162,171,68,85,83
